"GEO_DIST","COM_DIST","POSTAREA"
"AB99","AB99","AB"
"B 99","B99","B"
"BB94","BB94","BB"
"BD97","BD97","BD"
"BD98","BD98","BD"
"BD99","BD99","BD"
"BL11","BL11","BL"
"BL78","BL78","BL"
"BN50","BN50","BN"
"BN51","BN51","BN"
"BN52","BN52","BN"
"BN88","BN88","BN"
"BN91","BN91","BN"
"BN99","BN99","BN"
"BS 0","BS0","BS"
"BS98","BS98","BS"
"BS99","BS99","BS"
"CA95","CA95","CA"
"CA99","CA99","CA"
"CF30","CF30","CF"
"CF91","CF91","CF"
"CF95","CF95","CF"
"CF99","CF99","CF"
"CH25","CH25","CH"
"CH26","CH26","CH"
"CH27","CH27","CH"
"CH28","CH28","CH"
"CH29","CH29","CH"
"CH30","CH30","CH"
"CH31","CH31","CH"
"CH32","CH32","CH"
"CH33","CH33","CH"
"CH34","CH34","CH"
"CH70","CH70","CH"
"CH88","CH88","CH"
"CH99","CH99","CH"
"CM92","CM92","CM"
"CM98","CM98","CM"
"CM99","CM99","CM"
"CR 9","CR9","CR"
"CR44","CR44","CR"
"CR90","CR90","CR"
"CT50","CT50","CT"
"CW98","CW98","CW"
"DE99","DE99","DE"
"DH97","DH97","DH"
"DH98","DH98","DH"
"DH99","DH99","DH"
"DL98","DL98","DL"
"DN55","DN55","DN"
"E 98","E98","E"
"EC1P","EC1P","EC"
"EC2P","EC2P","EC"
"EC3P","EC3P","EC"
"EC4P","EC4P","EC"
"EH91","EH91","EH"
"EH95","EH95","EH"
"EH99","EH99","EH"
"EN77","EN77","EN"
"G  9","G9","G"
"G 58","G58","G"
"G 70","G70","G"
"G 79","G79","G"
"G 90","G90","G"
"GU95","GU95","GU"
"IM99","IM99","IM"
"IP98","IP98","IP"
"IV99","IV99","IV"
"JE 1","JE1","JE"
"JE 4","JE4","JE"
"KY99","KY99","KY"
"L 67","L67","L"
"L 68","L68","L"
"L 70","L70","L"
"L 71","L71","L"
"L 72","L72","L"
"L 73","L73","L"
"L 74","L74","L"
"L 75","L75","L"
"L 80","L80","L"
"LE21","LE21","LE"
"LE41","LE41","LE"
"LE55","LE55","LE"
"LE87","LE87","LE"
"LE94","LE94","LE"
"LE95","LE95","LE"
"LS88","LS88","LS"
"LS98","LS98","LS"
"LS99","LS99","LS"
"M 61","M61","M"
"M 99","M99","M"
"ME99","ME99","ME"
"MK77","MK77","MK"
"N 1P","N1P","N"
"N 81","N81","N"
"NE82","NE82","NE"
"NE83","NE83","NE"
"NE85","NE85","NE"
"NE88","NE88","NE"
"NE92","NE92","NE"
"NE98","NE98","NE"
"NE99","NE99","NE"
"NG70","NG70","NG"
"NG80","NG80","NG"
"NG90","NG90","NG"
"NR99","NR99","NR"
"NW1W","NW1W","NW"
"NW26","NW26","NW"
"OL95","OL95","OL"
"PL95","PL95","PL"
"PR 0","PR0","PR"
"PR11","PR11","PR"
"RH77","RH77","RH"
"S 49","S49","S"
"S 95","S95","S"
"S 96","S96","S"
"S 97","S97","S"
"S 98","S98","S"
"S 99","S99","S"
"SA80","SA80","SA"
"SA99","SA99","SA"
"SE1P","SE1P","SE"
"SL60","SL60","SL"
"SL95","SL95","SL"
"SN38","SN38","SN"
"SN99","SN99","SN"
"SO25","SO25","SO"
"SO97","SO97","SO"
"SR 9","SR9","SR"
"SS22","SS22","SS"
"SS99","SS99","SS"
"ST55","ST55","ST"
"SW95","SW95","SW"
"SY99","SY99","SY"
"UB18","UB18","UB"
"W 1A","W1A","W"
"WA55","WA55","WA"
"WA88","WA88","WA"
"WD99","WD99","WD"
"WF90","WF90","WF"
"WR99","WR99","WR"
"WV98","WV98","WV"
"WV99","WV99","WV"
"YO90","YO90","YO"
"YO91","YO91","YO"
